,ASXreturn,ASXvol,DAXreturn,DAXvol,FTSEreturn,FTSEvol,HSreturn,HSvol,NIKreturn,NIKvol,SNPnegative,SNPpositive,SNPvol
19,0.5505420835417261,0.22724554838402697,0.5784919216211084,0.3079979625786216,0.5660791144149937,0.12803408528323457,0.5873761196948842,0.1256144434703486,0.5068038471568728,0.06240165283991679,0.0,1.0,0.11273014466448636
20,0.680150597932388,0.20320183961984145,0.5560927914790892,0.27432799500169625,0.5769810314312472,0.1261937570537795,0.6344411892737177,0.11220552245649143,0.5163186176594295,0.049813474867945504,0.0,1.0,0.11273014466448636
21,0.7040589855247066,0.388579120479529,0.6772419972667054,0.25163538763424437,0.6448828612808745,0.10463153002665468,0.7234903028859965,0.22307537962806528,0.554400841770739,0.15220230564479448,0.0,1.0,0.20464773731226116
22,0.48446301787867996,0.21221128675207948,0.4246963346188789,0.32435698742442465,0.3549074223508386,0.19992262344872477,0.3946212011005395,0.2001776028521811,0.4891488487949891,0.08854875192968836,1.0,0.0,0.27435520757440995
23,0.4916981517915306,0.2837209077725734,0.556327437662343,0.2783518722001505,0.6200707683505411,0.1427701451500492,0.5547151585864823,0.19244095029133307,0.43976686716057045,0.08980108119244837,1.0,0.0,0.2826000978510857
24,0.5095989792086145,0.22402076602164545,0.2887445767460105,0.6528595063720807,0.42777728567654383,0.24031350973487198,0.5489522824948219,0.157312385258606,0.4300546633344612,0.06241465713235169,1.0,0.0,0.47160198244445256
25,0.5505420835417261,0.22402076602164545,0.5784919216211084,0.6528595063720807,0.5660791144149937,0.24031350973487198,0.5873761196948842,0.157312385258606,0.5068038471568728,0.06241465713235169,0.0,1.0,0.47160198244445256
26,0.5505420835417261,0.22402076602164545,0.5784919216211084,0.6528595063720807,0.5660791144149937,0.24031350973487198,0.5873761196948842,0.157312385258606,0.5068038471568728,0.06241465713235169,0.0,1.0,0.47160198244445256
27,0.28923358166415625,0.38784503649642477,0.477515516678075,0.22022063571314046,0.5660791144149937,0.24031350973487198,0.38538845751688694,0.12350157212298764,0.39718057440673477,0.06350013777245476,0.0,1.0,0.21120800330854989
28,0.748799522408411,0.3063894675937055,0.5659693533741337,0.24528275418011766,0.5660791144149937,0.24031350973487198,0.6279875565643928,0.11838248817754948,0.5734144717833354,0.0837677193955392,0.0,1.0,0.1726944823181105
29,0.5891523513567858,0.14021166505255891,0.7554437907711984,0.26568370460291085,0.8518222021201094,0.24540752819563783,0.731401928119656,0.12760829440627094,0.6224632950412021,0.15009070837187813,0.0,1.0,0.42047353744739946
30,0.7274408049676729,0.3044821756069309,0.6483735064126516,0.32760285746758383,0.7095371535932083,0.20341839492686828,0.6730383096807622,0.1414194737406911,0.5864164861128005,0.040546729426678134,1.0,0.0,0.2110025499484114
31,0.40345519221864307,0.322284981189895,0.5600012714085555,0.2221534615433314,0.5377807749327617,0.11149369155065218,0.49264415049527543,0.23829480886941834,0.373171815669305,0.20841498278387782,0.0,1.0,0.23755505791020134
32,0.5505420835417261,0.322284981189895,0.5784919216211084,0.2221534615433314,0.5660791144149937,0.11149369155065218,0.5873761196948842,0.23829480886941834,0.5068038471568728,0.20841498278387782,0.0,1.0,0.23755505791020134
33,0.5505420835417261,0.322284981189895,0.5784919216211084,0.2221534615433314,0.5660791144149937,0.11149369155065218,0.5873761196948842,0.23829480886941834,0.5068038471568728,0.20841498278387782,0.0,1.0,0.23755505791020134
34,0.5505420835417261,0.322284981189895,0.5926387068263176,0.39458063347569844,0.5600312908920064,0.21477661947984925,0.8326641451622455,0.06627144894299686,0.6320786894643895,0.06837525117972341,1.0,0.0,0.3864539093855721
35,0.5810128907328697,0.12044952754179207,0.6063662500415802,0.3183480185218054,0.6584493260434902,0.1065937410526525,0.5443615343973622,0.13766106183253202,0.4413931704318785,0.13341382632365723,0.0,1.0,0.2324290205544482
36,0.520470886347035,0.19111045054292913,0.5664515082954203,0.3189182646051674,0.5883933012813449,0.12043295348252571,0.6694151508651972,0.13592848521057757,0.5451154376228259,0.05732658103355082,1.0,0.0,0.21754229659002136
37,0.47900298408224307,0.18241606120568488,0.5593647115916034,0.21705672409332447,0.5290087056392293,0.09690602236325542,0.4720890131953484,0.07527673970800022,0.49268630363636706,0.06906669975507133,0.0,1.0,0.25908219382705694
38,0.6008205533778195,0.14264557446191564,0.7038980333514682,0.22328429330454086,0.5921700730236275,0.0926526641519646,0.8149036141645444,0.23049858630702294,0.5071253941064728,0.07027012645654047,0.0,1.0,0.17403662148312457
39,0.5505420835417261,0.14264557446191564,0.5784919216211084,0.22328429330454086,0.5660791144149937,0.0926526641519646,0.5873761196948842,0.23049858630702294,0.5068038471568728,0.07027012645654047,0.0,1.0,0.17403662148312457
40,0.5505420835417261,0.14264557446191564,0.5784919216211084,0.22328429330454086,0.5660791144149937,0.0926526641519646,0.5873761196948842,0.23049858630702294,0.5068038471568728,0.07027012645654047,0.0,1.0,0.17403662148312457
41,0.8145975836966116,0.39342990520748755,0.6040649547009004,0.2246158503945011,0.5932652755672156,0.16727318293186086,0.688741844544676,0.10352596396260262,0.6200611802728629,0.04803385491781884,0.0,1.0,0.16761651182411613
42,0.5062947532914738,0.1603670738100414,0.7347516098850075,0.348326003482303,0.7764111258725543,0.20238222763819494,0.5816093579340136,0.08005400500917992,0.45900993068352813,0.08116568753658947,0.0,1.0,0.23872864329827967
43,0.5802465110514261,0.1719705711707008,0.6168233642897416,0.1532388702220726,0.6442008506265864,0.09064637290851302,0.6402981057592302,0.04589710307907886,0.5780847797215121,0.05293645739149694,1.0,0.0,0.18607697904416284
